"name","area","country_code2","country_code3"
"Afghanistan","652090.00","AF","AFG"
"Albania","28748.00","AL","ALB"
"Algeria","2381741.00","DZ","DZA"
"American Samoa","199.00","AS","ASM"
"Andorra","468.00","AD","AND"
"Angola","1246700.00","AO","AGO"
"Anguilla","96.00","AI","AIA"
"Antarctica","13120000.00","AQ","ATA"
"Antigua and Barbuda","442.00","AG","ATG"
"Argentina","2780400.00","AR","ARG"
"Armenia","29800.00","AM","ARM"
"Aruba","193.00","AW","ABW"
"Australia","7741220.00","AU","AUS"
"Austria","83859.00","AT","AUT"
